short_id,tags_id,tag
1,9360833,education and schools
2,9360834,teachers and school employees
3,9360835,privacy
4,9360836,politics and government
5,9360837,law and legislation
6,9360838,tests and testing
7,9360839,computers and the internet
8,9360840,finances
9,9360841,abortion
10,9360842,no index terms from nytimes
11,9360843,privatization
12,9360844,books and literature
13,9360845,motion pictures
14,9360846,united states politics and government
15,9360847,christians and christianity
16,9360848,religion and churches
17,9360849,advertising and marketing
18,9360850,budgets and budgeting
19,9360851,elections
20,9360852,medicine and health
21,9360853,presidents and presidency (us)
22,9360854,presidential elections (us)
23,9360855,minorities (us)
24,9360856,recordings (audio)
25,9360857,handicapped
26,9360858,homosexuality
27,9360859,labor
28,9360860,suits and litigation
29,9360861,colleges and universities
30,9360862,recordings (video)
31,9360863,blacks
32,9360864,public opinion
33,9360865,primaries
34,9360866,lobbying and lobbyists
35,9360867,hispanic-americans
36,9360868,"armament, defense and military forces"
37,9360869,appointments and executive changes
38,9360870,copyrights
39,9360871,philanthropy
40,9360872,mathematics
41,9360873,recession and depression
42,9360874,reading and writing skills
43,9360875,writing and writers
44,9360876,ratings and rating systems
45,9360877,jews
46,9360878,language and languages
47,9360879,television
48,9360880,computer software
49,9360881,police
50,9360882,taxation
51,9360883,governors (us)
52,9360884,oil (petroleum) and gasoline
53,9360885,news and news media
54,9360886,global warming
55,9360887,environment
56,9360888,islam
57,9360889,presidential election of 1988
58,9360890,drug abuse and traffic
59,9360891,marijuana
60,9360892,women
61,9360893,church-state relations
62,9360894,editorials
63,9360895,gun control
64,9360896,election issues
65,9360897,immigration and refugees
66,9360898,sex
67,9360899,"awards, decorations and honors"
68,9360900,terrorism
69,9360901,nazi policies toward jews and minorities
70,9360902,weather
71,9360903,electronic mail
72,9360904,quotation of the day
73,9360905,decisions and verdicts
74,9360906,equal educational opportunities
75,9360907,libraries and librarians
76,9360908,advertising
77,9360909,baseball
78,9360910,illegal aliens
79,9360911,media
80,9360912,crime and criminals
81,9360913,roads and traffic
82,9360914,automobiles
83,9360915,ethics
84,9360916,art
85,9360917,property taxes
86,9360918,speech
87,9360919,freedom of speech and expression
88,9360920,political advertising
89,9360921,reviews
90,9360922,sex crimes
91,9360923,prostitution
92,9360924,insurance
93,9360925,hurricanes and tropical storms
94,9360926,hurricane katrina
95,9360927,floods
96,9360928,election results
97,9360929,strikes
98,9360930,united states armament and defense
99,9360931,basketball
100,9360932,horse racing
101,9360933,united states international relations
102,9360934,international relations
103,9360935,firearms
104,9360936,health insurance and managed care
105,9360937,health insurance
106,9360938,discrimination
107,9360939,music
108,9360940,airlines and airplanes
109,9360941,drugs (pharmaceuticals)
110,9360942,diseases and conditions
111,9360943,banks and banking
112,9360944,college athletics
113,9360945,football
114,9360946,impeachment
115,9360947,frauds and swindling
116,9360948,new year
117,9360949,correction stories
118,9360950,trees and shrubs
119,9360951,home repairs
120,9360952,olympic games
121,9360953,apparel
122,9360954,home furnishings
123,9360955,earthquakes
124,9360956,home repairs and improvements
125,9360957,world trade center (nyc)
126,9360958,fish and other marine life
127,9360959,office buildings and commercial properties
128,9360960,noise
129,9360961,legislatures and parliaments
130,9360962,tuition
131,9360963,presidential election of 2004
132,9360964,mayors
133,9360965,soccer
134,9360966,restaurants
135,9360967,unemployment
136,9360968,biographical information
137,9360969,radio
138,9360970,"conventions, national (us)"
139,9360971,computer and video games
140,9360972,presidential election of 2008
141,9360973,super bowl
142,9360974,demonstrations and riots
143,9360975,marriages
144,9360976,deaths (obituaries)
145,9360977,accidents and safety
146,9360978,standards and standardization
147,9360979,referendums
148,9360980,exercise
149,9360981,children and youth
150,9360982,murders and attempted murders
151,9360983,international trade and world market
152,9360984,wages and salaries
153,9360985,coaches and managers
154,9360986,archaeology and anthropology
155,9360987,palestinians
156,9360988,birth control and family planning
157,9360989,economic conditions and trends
158,9360990,united states economy
159,9360991,telephones and telecommunications
160,9360992,restoration and rehabilitation
161,9360993,dairy products
162,9360994,animals
163,9360995,sales
164,9360996,"prices (fares, fees and rates)"
165,9360997,energy and power
166,9360998,atomic weapons
167,9360999,holidays and special occasions
168,9361000,medicaid
169,9361001,medicare
170,9361002,christmas
171,9361003,"war crimes, genocide and crimes against humanity"
172,9361004,presidential election of 2000
173,9361005,fires and firefighters
174,9361006,fires and firemen
175,9361007,air pollution
176,9361008,robberies and thefts
177,9361009,conventions and conferences
178,9361010,food
179,9361011,diet and nutrition
180,9361012,stocks and bonds
181,9361013,electric light and power
182,9361014,light
183,9361015,blackouts and brownouts (electrical)
184,9361016,theater
185,9361017,hijacking
